% Column 0: Length, mm
% Column 1: B.n, Tesla
0.00000000e+000	-4.11266121e-003	
2.38855523e-001	-4.30130587e-003	
4.77711046e-001	-4.47795119e-003	
7.16566569e-001	-4.65936027e-003	
9.55422092e-001	-4.85541218e-003	
1.19427761e+000	-5.04783091e-003	
1.43313314e+000	-5.24723189e-003	
1.67198866e+000	-5.44949165e-003	
1.91084418e+000	-5.65281478e-003	
2.14969971e+000	-5.85602951e-003	
2.38855523e+000	-6.05027910e-003	
2.62741075e+000	-6.20369822e-003	
2.86626627e+000	-6.29079442e-003	
3.10512180e+000	-6.04494391e-003	
3.34397732e+000	-4.22391525e-003	
3.58283284e+000	-4.20554124e-004	
3.82168837e+000	7.53286290e-003	
4.06054389e+000	1.73059332e-002	
4.29939941e+000	2.74804336e-002	
4.53825494e+000	4.04000644e-002	
4.77711046e+000	5.58483653e-002	
5.01596598e+000	7.40130523e-002	
5.25482150e+000	9.25648378e-002	
5.49367703e+000	1.21872958e-001	
5.73253255e+000	1.57319158e-001	
5.97138807e+000	2.07813577e-001	
6.21024360e+000	2.67721416e-001	
6.44909912e+000	3.23735407e-001	
6.68795464e+000	3.54318488e-001	
6.92681016e+000	3.67448077e-001	
7.16566569e+000	3.73355334e-001	
7.40452121e+000	3.70182324e-001	
7.64337673e+000	3.56601942e-001	
7.88223226e+000	3.41615912e-001	
8.12108778e+000	3.39498617e-001	
8.35994330e+000	3.44948362e-001	
8.59879882e+000	3.47396879e-001	
8.83765435e+000	3.49220552e-001	
9.07650987e+000	3.51086950e-001	
9.31536539e+000	3.53443106e-001	
9.55422092e+000	3.58513717e-001	
9.79307644e+000	3.62572051e-001	
1.00319320e+001	3.63474502e-001	
1.02707875e+001	3.59709156e-001	
1.05096430e+001	3.54026841e-001	
1.07484985e+001	3.50557174e-001	
1.09873541e+001	3.48039106e-001	
1.12262096e+001	3.45836545e-001	
1.14650651e+001	3.43662977e-001	
1.17039206e+001	3.41499153e-001	
1.19427761e+001	3.39325327e-001	
1.21816317e+001	3.37139959e-001	
1.24204872e+001	3.34880469e-001	
1.26593427e+001	3.32149412e-001	
1.28981982e+001	3.28367834e-001	
1.31370538e+001	3.20316112e-001	
1.33759093e+001	2.98570830e-001	
1.36147648e+001	2.58662689e-001	
1.38536203e+001	2.15688680e-001	
1.40924759e+001	1.83575659e-001	
1.43313314e+001	1.61759511e-001	
1.45701869e+001	1.53852232e-001	
1.48090424e+001	1.56720156e-001	
1.50478979e+001	1.67104467e-001	
1.52867535e+001	1.84472356e-001	
1.55256090e+001	2.12617621e-001	
1.57644645e+001	2.65802484e-001	
1.60033200e+001	3.31398517e-001	
1.62421756e+001	4.10482475e-001	
1.64810311e+001	4.69159824e-001	
1.67198866e+001	4.99313199e-001	
1.69587421e+001	5.10197597e-001	
1.71975976e+001	5.16473471e-001	
1.74364532e+001	5.20219658e-001	
1.76753087e+001	5.22813007e-001	
1.79141642e+001	5.25406356e-001	
1.81530197e+001	5.28006411e-001	
1.83918753e+001	5.30612224e-001	
1.86307308e+001	5.33218038e-001	
1.88695863e+001	5.36424670e-001	
1.91084418e+001	5.39672505e-001	
1.93472974e+001	5.43710042e-001	
1.95861529e+001	5.49324546e-001	
1.98250084e+001	5.54939051e-001	
2.00638639e+001	5.53537179e-001	
2.03027194e+001	5.46173332e-001	
2.05415750e+001	5.35615835e-001	
2.07804305e+001	5.30430011e-001	
2.10192860e+001	5.26419006e-001	
2.12581415e+001	5.22763495e-001	
2.14969971e+001	5.19217533e-001	
2.17358526e+001	5.15702675e-001	
2.19747081e+001	5.12505240e-001	
2.22135636e+001	5.09261129e-001	
2.24524192e+001	5.05533648e-001	
2.26912747e+001	5.00861755e-001	
2.29301302e+001	4.93532927e-001	
2.31689857e+001	4.75205613e-001	
2.34078412e+001	4.33188361e-001	
2.36466968e+001	3.68633541e-001	
2.38855523e+001	2.98490285e-001	
2.41244078e+001	2.52113833e-001	
2.43632633e+001	2.25672206e-001	
2.46021189e+001	2.19061095e-001	
2.48409744e+001	2.24424341e-001	
2.50798299e+001	2.39773467e-001	
2.53186854e+001	2.68149296e-001	
2.55575410e+001	3.13649268e-001	
2.57963965e+001	3.79954742e-001	
2.60352520e+001	4.81558511e-001	
2.62741075e+001	5.70452152e-001	
2.65129630e+001	6.35543636e-001	
2.67518186e+001	6.74074707e-001	
2.69906741e+001	6.87267406e-001	
2.72295296e+001	6.94188500e-001	
2.74683851e+001	6.99156624e-001	
2.77072407e+001	7.03619027e-001	
2.79460962e+001	7.07834677e-001	
2.81849517e+001	7.12017435e-001	
2.84238072e+001	7.16196691e-001	
2.86626627e+001	7.20694740e-001	
2.89015183e+001	7.25930989e-001	
2.91403738e+001	7.31167238e-001	
2.93792293e+001	7.38210225e-001	
2.96180848e+001	7.46029556e-001	
2.98569404e+001	7.53154462e-001	
3.00957959e+001	7.48781337e-001	
3.03346514e+001	7.37184540e-001	
3.05735069e+001	7.27398386e-001	
3.08123625e+001	7.21639530e-001	
3.10512180e+001	7.17115213e-001	
3.12900735e+001	7.12604109e-001	
3.15289290e+001	7.08095991e-001	
3.17677845e+001	7.03644206e-001	
3.20066401e+001	6.99327382e-001	
3.22454956e+001	6.94698822e-001	
3.24843511e+001	6.89031324e-001	
3.27232066e+001	6.80768070e-001	
3.29620622e+001	6.67944335e-001	
3.32009177e+001	6.31252687e-001	
3.34397732e+001	5.58042501e-001	
3.36786287e+001	4.53439201e-001	
3.39174843e+001	3.63927021e-001	
3.41563398e+001	2.99521687e-001	
3.43951953e+001	2.56943168e-001	
3.46340508e+001	2.31619862e-001	
3.48729063e+001	2.22624515e-001	
3.51117619e+001	2.19266801e-001	
3.53506174e+001	2.35887480e-001	
3.55894729e+001	2.62356874e-001	
3.58283284e+001	3.17334537e-001	
3.60671840e+001	3.83065889e-001	
3.63060395e+001	4.42185516e-001	
3.65448950e+001	4.78991028e-001	
3.67837505e+001	5.00357001e-001	
3.70226061e+001	5.06916835e-001	
3.72614616e+001	5.11142368e-001	
3.75003171e+001	5.14943636e-001	
3.77391726e+001	5.18635392e-001	
3.79780281e+001	5.22183004e-001	
3.82168837e+001	5.25435902e-001	
3.84557392e+001	5.28688800e-001	
